# zap-baseline rule configuration file
# Change WARN to IGNORE to ignore rule or FAIL to fail if rule matches
# Only the rule identifiers are used - the names are just for info
# You can add your own messages to each rule by appending them after a tab on each line.
10003	FAIL	(Vulnerable JS Library (Powered by Retire.js))
10009	FAIL	(In Page Banner Information Leak)
10010	FAIL	(Cookie No HttpOnly Flag)
10011	FAIL	(Cookie Without Secure Flag)
10015	WARN	(Re-examine Cache-control Directives)
10017	WARN	(Cross-Domain JavaScript Source File Inclusion)
10019	FAIL	(Content-Type Header Missing)
10020	FAIL	(Anti-clickjacking Header)
10021	FAIL	(X-Content-Type-Options Header Missing)
10023	FAIL	(Information Disclosure - Debug Error Messages)
10024	WARN	(Information Disclosure - Sensitive Information in URL)
10025	WARN	(Information Disclosure - Sensitive Information in HTTP Referrer Header)
10026	FAIL	(HTTP Parameter Override)
10027	WARN	(Information Disclosure - Suspicious Comments)
10028	FAIL	(Open Redirect)
10029	FAIL	(Cookie Poisoning)
10030	WARN	(User Controllable Charset)
10031	WARN	(User Controllable HTML Element Attribute (Potential XSS))
10032	WARN	(Viewstate)
10033	FAIL	(Directory Browsing)
10034	FAIL	(Heartbleed OpenSSL Vulnerability (Indicative))
10035	WARN	(Strict-Transport-Security Header)
10036	WARN	(HTTP Server Response Header)
10037	FAIL	(Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s))
10038	WARN	(Content Security Policy (CSP) Header Not Set)
10039	FAIL	(X-Backend-Server Header Information Leak)
10040	FAIL	(Secure Pages Include Mixed Content)
10041	FAIL	(HTTP to HTTPS Insecure Transition in Form Post)
10042	FAIL	(HTTPS to HTTP Insecure Transition in Form Post)
10043	FAIL	(User Controllable JavaScript Event (XSS))
10044	IGNORE	(Big Redirect Detected (Potential Sensitive Information Leak))
10049	IGNORE	(Content Cacheability)
10050	IGNORE	(Retrieved from Cache)
10052	IGNORE	(X-ChromeLogger-Data (XCOLD) Header Information Leak)
10054	FAIL	(Cookie without SameSite Attribute)
10055	WARN	(CSP)
10056	WARN	(X-Debug-Token Information Leak)
10057	IGNORE	(Username Hash Found)
10061	IGNORE	(X-AspNet-Version Response Header)
10062	IGNORE	(PII Disclosure)
10063	WARN	(Permissions Policy Header Not Set)
10096	WARN	(Timestamp Disclosure)
10097	WARN	(Hash Disclosure)
10098	WARN	(Cross-Domain Misconfiguration)
10099	FAIL	(Source Code Disclosure)
10105	IGNORE	(Weak Authentication Method)
10108	IGNORE	(Reverse Tabnabbing)
10109	IGNORE	(Modern Web Application)
10110	WARN	(Dangerous JS Functions)
10111	WARN	(Authentication Request Identified)
10112	WARN	(Session Management Response Identified)
10113	WARN	(Verification Request Identified)
10202	FAIL	(Absence of Anti-CSRF Tokens)
2	WARN	(Private IP Disclosure)
3	FAIL	(Session ID in URL Rewrite)
50001	WARN	(Script Passive Scan Rules)
90001	IGNORE	(Insecure JSF ViewState)
90002	IGNORE	(Java Serialization Object)
90003	IGNORE	(Sub Resource Integrity Attribute Missing)
90004	IGNORE	(Insufficient Site Isolation Against Spectre Vulnerability)
90011	IGNORE	(Charset Mismatch)
90022	WARN	(Application Error Disclosure)
90030	IGNORE	(WSDL File Detection)
90033	WARN	(Loosely Scoped Cookie)
